trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.01, 'e': 0.497571047891727}",25,2,-55.34600450012921,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,8,5.800639641173706,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,0,-3.81913692097088,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,13,-34.26864533829776,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,13,12.888313231835333,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,6,-51.78945819791895,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.44466151674170673}",25,10,-43.330736251399365,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
111,False,"{'a': 0.01, 'e': 0.43568244627671204}",25,16,-24.045730211998535,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,16,-11.315591498253616,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,14,12.183995158238893,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.40848744088415717}",30,16,10.7927675547866,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,8,-30.901453755501016,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,14,19.301558797482695,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,15,9.429367206026438,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.371659872260533}",20,0,18.82246794329216,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
